,0
70,fa5e2ff8466344564e8e7538449c486efc1a94a85ba64a6d4459652991ccedb3
71,5c76ff8f8909d41333961be348b10508cd6749a14e578bcad02b3ba5dbcc1423
72,54e4b8f5cfe4c81093d48b6917f9b8be87e658e5ee6379823d8e7790ac4ac44c
73,1cdf7e5db6646c4b60a29766130c07ba0655edc463123b83971b0791a0dc513e
74,800ab2737568bff13a92f7a3b552d175d66a1fbc81e9b87aa89ebeb79f07db54
75,c03af26623a3f28a633358533e2ee6503ab383f0f5e093d8a8553b1a38656802
76,3889d361d33d9570f440c306fa3ed6633cec66a38c78a8288555912203042dbf
77,ff2baaa8b68ce97998fdb63dd93d57ddb4985c750fbc34aaeef1975e79cf3775
78,406b8c952aaecf789c4ae7f8147b41b663a458308d6e3571432ea6afea7cd7ff
79,c7330ab775f03a08b06c23fb7757f8ad34a8f04791b86d47264b112c733ad71c
80,8b8c483819749457323201d1160ed0200f9566cb360e0bf4038ac344db0d999d
81,5a3dcd1c4cc640dab540f577b8b3390db260b14341552658cae0b5343038c9c9
82,28b7ab6864ceeb64002e8ab8b641b34adf487bb73d57f4b16459035807da909d
83,c13b4730d104baff9cc3f351048018f5495f438f4f1ee7d4d70e6d130c528e1a
84,ffef1ceea6a15f08d78db9c03591c74aa87b5dcf8762e3d0f554f7491d6f4714
85,1fd374699e29c8dca7ca6e1aac3c415330cc3dd0b9f9772c8d6003a384032fb5
86,0357feb549e3ad74b0356d6dc6f786e105a00552e3e4a7e805ef86050a0b23c8
87,cd9cf05ae2f9896dd281d1825ce3b1c4575ed35191f82dab2cd8f18b8faea48a
88,a4e6006d0204ed5751c949c8858659ab7f18f87abc15bfa98c886f69d9fb72ad
89,727805504217643b3baa48bcfc4dc3d889f02aac34b8360e1adcf8aa0b74a53a
90,84b1ece94f4f2cfc50b68e9559f83972591bd7113c47c6dead5ffb3bdb08b33f
91,f1dafefb16cdfd53f5b3d82ed64114a9df5ed79f725e81d6a0e9ab1f516c7b56
92,6e28fec7ab0eb51a70f5e6ceeaac7afaaa1ffa34dd7bfb3bc1de848246c713f8
93,2a2c8c7635c037cb70e388667cf7fbb80e50a32823b09110f2397f0e3972978f
94,12c4c24264ee54ae9fbe490dd583dd9c17b0cc2751ec71cbbeb6577e9f4716c8
95,ffc0bf178a89b1166224a64da2565bbb05ae2f3712a0c6e698d77e3239ca246f
96,cb120fe148e6f8482f420fe0011198ba6be0e3f1d2a7abe88b0f7834de131117
97,5b97fa221f6deff15ed6c3483f4e3c327392f95cd9a904f5968322d7da44b315
98,ca1c224bc98b8c4fe66671cdf81eb9ee56eef0f080c21ab08200cea969114a02
99,980809ca5388cb1cf303f142a8379842f4f8df455d3753b3838c43806bbfb382
