,c1,c2,c3,c4,c5
199,33,8,25,69.0,65.0
200,3,46,57,21.0,65.0
201,68,53,17,55.0,57.0
202,68,30,49,34.0,57.0
203,42,8,5,18.0,33.0
204,19,63,45,60.0,9.0
205,13,68,33,8.0,17.0
206,59,52,8,4.0,2.0
207,62,65,9,71.0,12.0
208,37,53,62,21.0,12.0
209,53,2,3,13.0,19.0
210,38,53,49,22.0,13.0
211,50,2,55,28.0,12.0
212,5,26,22,70.0,33.0
213,8,51,49,60.0,45.0
214,5,4,68,45.0,31.0
215,26,21,42,34.0,60.0
216,56,64,8,5.0,44.0
217,60,51,55,19.0,49.0
218,51,69,43,61.0,18.0
219,45,3,68,13.0,8.0
220,57,60,68,46.0,43.0
221,62,47,27,33.0,2.0
222,68,62,28,3.0,30.0
223,17,41,28,18.0,47.0
224,52,33,67,38.0,26.0
225,8,28,7,54.0,36.0
226,29,28,38,37.0,62.0
227,42,62,33,69.0,51.0
228,38,45,41,31.0,53.0
229,73,22,27,72.0,70.0
230,33,27,1,16.0,55.0
231,32,8,35,18.0,53.0
232,7,46,20,28.0,5.0
233,52,57,33,4.0,18.0
234,2,19,54,57.0,24.0
235,5,36,61,70.0,54.0
236,1,39,34,54.0,18.0
237,3,18,62,8.0,12.0
238,33,35,31,57.0,17.0
239,37,46,57,60.0,4.0
240,63,38,40,58.0,61.0
241,53,42,17,38.0,62.0
242,3,6,14,57.0,13.0
243,28,26,33,32.0,6.0
244,21,69,40,67.0,47.0
245,66,39,40,30.0,60.0
246,49,40,8,6.0,69.0
247,49,68,43,57.0,62.0
248,63,34,46,4.0,17.0
249,23,5,27,42.0,34.0
250,36,38,49,3.0,55.0
251,2,1,41,67.0,48.0
252,33,18,73,3.0,41.0
253,51,5,2,33.0,4.0
254,47,33,18,12.0,66.0
255,57,53,10,38.0,63.0
256,51,39,17,36.0,60.0
257,35,24,1,61.0,25.0
258,33,11,48,44.0,3.0
259,9,15,18,21.0,27.0
260,31,62,5,13.0,49.0
261,48,17,35,54.0,67.0
262,51,44,5,9.0,26.0
263,13,48,33,70.0,1.0
264,49,70,40,55.0,67.0
265,35,48,66,1.0,34.0
266,66,31,53,44.0,73.0
267,48,62,40,58.0,73.0
268,47,22,49,11.0,8.0
269,68,26,66,16.0,64.0
270,48,8,69,58.0,24.0
271,37,40,33,70.0,32.0
272,11,17,51,26.0,33.0
273,51,1,8,49.0,33.0
274,10,62,14,57.0,68.0
275,51,33,57,17.0,68.0
276,49,43,69,7.0,66.0
277,30,46,1,73.0,68.0
278,52,63,68,40.0,38.0
279,38,72,60,33.0,35.0
280,45,66,20,17.0,33.0
281,53,17,2,66.0,21.0
282,69,57,61,41.0,68.0
283,36,4,29,27.0,53.0
284,1,66,37,57.0,68.0
285,58,59,40,21.0,38.0
286,69,5,18,43.0,49.0
287,59,49,69,63.0,64.0
288,43,7,65,22.0,66.0
289,8,66,17,36.0,68.0
290,14,10,69,60.0,55.0
