,c1,c2,c3,c4,c5
870,39,34,41,29.0,61.0
871,51,35,68,59.0,31.0
872,69,35,32,49.0,8.0
873,35,57,21,33.0,40.0
874,31,64,32,43.0,57.0
875,34,71,73,65.0,66.0
876,42,71,70,48.0,9.0
877,12,71,37,63.0,25.0
878,67,33,61,52.0,43.0
879,62,47,53,8.0,17.0
880,1,30,38,51.0,68.0
881,37,66,31,63.0,53.0
882,66,71,69,5.0,53.0
883,17,40,59,55.0,49.0
884,49,62,47,21.0,19.0
885,30,17,59,6.0,67.0
886,57,47,53,60.0,30.0
887,13,54,53,68.0,8.0
888,3,51,28,13.0,57.0
889,51,48,20,32.0,66.0
890,72,2,12,57.0,8.0
891,62,11,47,37.0,57.0
892,38,17,34,33.0,47.0
893,33,50,69,43.0,21.0
894,26,38,57,7.0,40.0
895,1,67,66,53.0,44.0
896,10,57,42,62.0,2.0
897,62,35,36,61.0,24.0
898,44,71,6,38.0,68.0
899,7,23,70,51.0,4.0
900,3,61,33,57.0,21.0
901,18,64,73,71.0,49.0
902,68,33,63,26.0,66.0
903,59,11,13,73.0,57.0
904,40,8,6,57.0,11.0
905,51,25,1,9.0,54.0
906,33,29,11,68.0,30.0
907,7,26,2,5.0,4.0
908,26,45,36,47.0,8.0
909,38,5,47,51.0,49.0
910,57,49,41,53.0,27.0
911,57,33,60,62.0,18.0
912,71,69,13,53.0,21.0
913,60,73,27,44.0,71.0
914,8,3,28,63.0,68.0
915,15,73,53,62.0,52.0
916,11,38,42,27.0,65.0
917,47,71,43,26.0,19.0
918,2,48,59,6.0,51.0
919,11,47,59,43.0,17.0
920,13,15,9,25.0,39.0
921,13,62,3,55.0,43.0
922,66,65,4,10.0,59.0
923,13,64,59,21.0,70.0
924,68,5,62,63.0,58.0
925,13,3,59,62.0,43.0
926,13,32,59,8.0,29.0
927,9,70,40,21.0,45.0
928,31,13,59,63.0,35.0
929,45,43,5,57.0,9.0
930,11,7,13,59.0,39.0
931,62,57,17,45.0,13.0
932,49,62,21,72.0,12.0
933,67,26,55,61.0,45.0
934,60,24,73,13.0,49.0
935,1,71,38,7.0,49.0
936,1,5,48,60.0,33.0
937,8,54,65,34.0,62.0
938,8,49,3,7.0,1.0
939,12,53,41,64.0,4.0
940,13,71,50,3.0,38.0
941,45,71,57,24.0,26.0
942,27,5,43,2.0,18.0
943,5,68,70,44.0,27.0
944,3,13,59,57.0,19.0
945,33,18,62,16.0,3.0
946,33,5,1,6.0,18.0
947,41,9,5,59.0,26.0
948,42,8,62,7.0,25.0
949,42,55,71,29.0,2.0
950,60,8,71,7.0,33.0
951,52,38,33,42.0,23.0
952,38,62,18,6.0,44.0
953,17,14,57,24.0,43.0
954,5,49,44,45.0,60.0
955,13,9,33,1.0,26.0
956,8,72,40,6.0,34.0
957,62,31,66,44.0,45.0
958,12,63,33,52.0,44.0
959,35,70,18,46.0,3.0
960,70,19,20,18.0,2.0
961,57,17,2,50.0,44.0
962,36,18,25,27.0,58.0
963,64,13,37,32.0,3.0
964,49,36,62,37.0,57.0
965,70,39,18,53.0,26.0
966,31,1,38,62.0,53.0
967,42,68,62,63.0,21.0
968,50,64,57,33.0,47.0
969,36,56,65,62.0,21.0
970,25,4,7,46.0,22.0
971,50,60,34,47.0,7.0
972,57,33,59,2.0,12.0
973,51,13,1,8.0,5.0
974,4,7,40,52.0,1.0
975,72,68,63,70.0,0.0
976,66,61,29,25.0,33.0
977,42,26,68,5.0,66.0
978,64,18,60,57.0,0.0
979,40,34,8,30.0,12.0
980,73,46,5,28.0,57.0
981,7,8,46,62.0,44.0
982,8,45,62,22.0,67.0
983,61,40,47,38.0,45.0
984,45,55,53,62.0,1.0
985,32,40,55,17.0,4.0
986,21,33,71,42.0,30.0
987,61,14,38,66.0,26.0
988,51,48,9,5.0,2.0
989,51,68,2,38.0,17.0
990,38,27,68,29.0,10.0
991,62,57,45,7.0,46.0
992,57,59,21,61.0,9.0
993,54,6,56,35.0,16.0
994,27,62,64,11.0,31.0
995,4,27,7,53.0,57.0
996,8,67,18,33.0,46.0
997,55,17,57,9.0,2.0
998,70,62,45,40.0,0.0
999,27,65,60,13.0,35.0
1000,24,70,45,30.0,33.0
1001,15,42,29,8.0,49.0
1002,69,31,9,41.0,21.0
1003,53,66,8,2.0,69.0
1004,43,22,33,48.0,68.0
1005,53,70,25,10.0,58.0
1006,43,40,49,11.0,3.0
1007,10,65,21,68.0,62.0
1008,53,8,66,69.0,2.0
1009,49,66,60,15.0,57.0
1010,2,43,3,11.0,9.0
1011,9,68,8,11.0,32.0
1012,46,2,13,66.0,55.0
1013,49,3,73,28.0,21.0
1014,47,40,45,46.0,62.0
1015,70,45,41,2.0,60.0
1016,4,45,62,9.0,60.0
1017,42,67,3,8.0,2.0
1018,37,52,13,8.0,68.0
1019,18,2,21,8.0,42.0
1020,20,61,11,33.0,1.0
1021,47,60,33,8.0,21.0
1022,16,33,18,62.0,15.0
1023,47,57,66,8.0,33.0
1024,68,28,36,62.0,70.0
1025,17,33,48,55.0,5.0
1026,56,57,55,54.0,14.0
1027,57,39,9,40.0,62.0
1028,36,21,27,2.0,11.0
1029,5,71,15,47.0,16.0
1030,14,45,30,55.0,62.0
1031,47,37,69,12.0,55.0
1032,29,33,35,52.0,11.0
1033,43,34,52,18.0,55.0
1034,69,25,57,34.0,18.0
1035,42,63,21,68.0,8.0
1036,7,21,63,17.0,49.0
1037,5,2,45,57.0,11.0
1038,51,37,28,5.0,72.0
1039,12,14,70,55.0,33.0
1040,27,71,68,26.0,57.0
1041,21,49,43,55.0,54.0
1042,18,13,33,73.0,29.0
1043,44,2,7,57.0,62.0
1044,1,8,7,33.0,55.0
1045,18,28,62,71.0,36.0
1046,18,15,7,6.0,62.0
1047,42,4,53,48.0,69.0
1048,37,66,31,22.0,16.0
1049,9,35,2,17.0,48.0
1050,38,9,61,21.0,17.0
1051,62,17,9,35.0,2.0
1052,57,40,72,36.0,33.0
1053,40,43,49,14.0,66.0
1054,29,38,35,2.0,56.0
1055,21,35,31,37.0,6.0
1056,35,5,28,55.0,24.0
1057,33,52,28,48.0,8.0
1058,14,49,28,48.0,66.0
1059,9,69,67,6.0,55.0
1060,43,14,65,21.0,17.0
1061,18,24,62,51.0,37.0
1062,26,18,58,66.0,5.0
1063,10,8,65,35.0,40.0
1064,36,31,66,57.0,33.0
1065,13,58,28,20.0,44.0
1066,18,20,64,53.0,11.0
1067,10,45,32,57.0,34.0
1068,62,20,3,56.0,45.0
1069,49,66,40,36.0,8.0
1070,28,15,66,22.0,2.0
1071,18,41,38,29.0,33.0
1072,69,62,20,22.0,33.0
1073,22,58,35,61.0,8.0
1074,69,54,35,49.0,40.0
1075,42,11,35,20.0,33.0
1076,2,55,63,18.0,69.0
1077,6,8,33,14.0,69.0
1078,57,3,42,11.0,5.0
1079,33,18,8,2.0,11.0
1080,34,60,21,17.0,11.0
1081,3,45,57,2.0,51.0
1082,64,62,2,55.0,69.0
1083,47,4,2,31.0,28.0
1084,49,4,22,5.0,69.0
1085,22,17,38,3.0,11.0
1086,37,20,28,11.0,68.0
1087,2,57,66,35.0,44.0
1088,18,26,4,51.0,68.0
1089,63,8,33,1.0,64.0
1090,19,18,42,62.0,33.0
1091,11,1,57,54.0,26.0
1092,70,42,6,2.0,26.0
1093,18,21,48,11.0,2.0
1094,66,60,2,62.0,37.0
1095,35,37,43,66.0,14.0
1096,40,26,63,44.0,64.0
1097,66,65,3,35.0,44.0
1098,53,62,70,68.0,3.0
1099,13,12,66,2.0,54.0
1100,46,27,8,35.0,40.0
1101,42,3,20,62.0,40.0
1102,28,57,35,44.0,10.0
1103,42,40,39,18.0,55.0
1104,57,69,27,44.0,55.0
1105,18,17,42,55.0,51.0
1106,68,20,41,18.0,55.0
1107,4,30,9,45.0,55.0
1108,21,53,17,45.0,11.0
1109,58,57,40,28.0,16.0
1110,15,46,35,18.0,55.0
1111,33,60,4,18.0,55.0
1112,26,53,45,57.0,1.0
1113,41,9,2,26.0,55.0
1114,52,13,33,61.0,25.0
1115,34,30,67,18.0,55.0
1116,59,29,7,18.0,55.0
1117,4,13,23,26.0,2.0
1118,52,64,13,53.0,16.0
1119,36,66,42,7.0,11.0
1120,48,23,67,7.0,65.0
1121,48,46,28,2.0,57.0
1122,26,14,4,66.0,3.0
1123,38,1,56,57.0,68.0
1124,2,33,20,22.0,62.0
1125,64,16,47,2.0,11.0
1126,7,15,54,50.0,60.0
1127,49,6,42,17.0,11.0
1128,10,62,21,7.0,14.0
1129,46,21,29,8.0,14.0
1130,33,2,29,55.0,70.0
1131,10,45,7,44.0,62.0
1132,53,57,38,10.0,52.0
1133,66,41,40,55.0,38.0
1134,40,63,24,55.0,3.0
1135,46,53,21,55.0,26.0
1136,57,33,55,29.0,43.0
1137,70,1,12,51.0,34.0
1138,7,57,47,70.0,62.0
1139,13,52,9,60.0,62.0
1140,18,33,43,21.0,62.0
1141,7,29,18,62.0,0.0
1142,61,2,66,16.0,3.0
1143,17,34,7,73.0,55.0
1144,1,64,34,43.0,59.0
1145,62,49,48,17.0,21.0
1146,3,6,14,57.0,13.0
1147,33,17,25,44.0,70.0
1148,9,47,66,14.0,62.0
1149,52,17,57,14.0,21.0
1150,33,1,27,73.0,6.0
1151,68,14,66,8.0,57.0
1152,20,14,52,53.0,62.0
1153,58,69,32,53.0,62.0
1154,36,38,49,3.0,55.0
1155,68,15,56,62.0,57.0
1156,17,53,51,27.0,57.0
1157,68,63,57,31.0,48.0
1158,9,49,21,11.0,67.0
1159,69,33,4,18.0,55.0
1160,13,62,49,3.0,1.0
1161,53,62,48,33.0,5.0
1162,37,33,32,56.0,51.0
1163,13,7,8,65.0,62.0
1164,9,57,29,3.0,0.0
1165,22,44,41,66.0,33.0
1166,39,17,28,36.0,70.0
1167,58,62,39,21.0,18.0
1168,13,53,60,5.0,33.0
1169,47,14,51,11.0,33.0
1170,57,41,26,14.0,60.0
1171,52,62,6,60.0,0.0
1172,49,51,18,66.0,17.0
1173,24,69,38,34.0,55.0
1174,62,43,68,45.0,29.0
1175,21,18,36,56.0,2.0
1176,41,1,70,33.0,53.0
1177,27,9,5,41.0,44.0
1178,66,18,41,61.0,17.0
1179,38,17,41,2.0,40.0
1180,25,48,17,66.0,64.0
1181,25,33,13,58.0,21.0
1182,12,30,5,2.0,11.0
1183,33,12,2,4.0,55.0
1184,62,38,37,64.0,10.0
1185,7,51,26,35.0,33.0
1186,31,61,6,33.0,5.0
1187,49,62,66,44.0,47.0
1188,62,36,35,68.0,2.0
1189,13,53,17,55.0,49.0
1190,33,44,43,26.0,55.0
1191,33,68,62,36.0,60.0
1192,35,30,27,12.0,24.0
1193,21,7,52,60.0,5.0
1194,52,20,27,14.0,5.0
1195,39,35,59,44.0,2.0
1196,56,21,66,35.0,40.0
1197,17,57,34,35.0,33.0
1198,43,33,44,60.0,38.0
1199,69,2,35,71.0,40.0
1200,12,68,27,55.0,25.0
1201,35,45,68,57.0,12.0
1202,26,8,53,66.0,44.0
1203,5,34,4,35.0,2.0
1204,62,38,29,68.0,61.0
1205,62,8,17,44.0,33.0
1206,5,3,49,27.0,47.0
1207,29,68,5,35.0,40.0
1208,18,47,38,55.0,2.0
1209,33,18,45,5.0,13.0
1210,34,60,62,3.0,70.0
1211,31,7,62,32.0,44.0
1212,34,38,44,5.0,0.0
1213,17,12,8,35.0,33.0
1214,6,21,22,17.0,49.0
1215,62,33,28,22.0,10.0
1216,8,22,40,11.0,7.0
1217,22,10,49,73.0,11.0
1218,33,53,11,29.0,51.0
1219,33,8,11,51.0,2.0
1220,8,9,69,14.0,62.0
1221,50,49,72,18.0,43.0
1222,41,42,1,69.0,19.0
1223,12,3,38,2.0,21.0
1224,9,5,14,20.0,18.0
1225,45,16,12,5.0,52.0
1226,41,2,5,27.0,52.0
1227,8,52,53,66.0,9.0
1228,66,62,33,68.0,17.0
1229,17,35,24,7.0,8.0
1230,46,55,24,62.0,3.0
1231,49,41,53,17.0,66.0
1232,51,64,42,8.0,1.0
1233,61,52,41,35.0,33.0
1234,48,57,24,7.0,34.0
1235,30,38,45,44.0,71.0
1236,43,38,2,65.0,54.0
1237,17,21,7,8.0,2.0
1238,26,70,5,2.0,0.0
1239,1,12,13,63.0,8.0
1240,2,71,38,54.0,56.0
1241,35,26,60,21.0,2.0
1242,43,41,56,51.0,61.0
1243,63,40,57,38.0,7.0
1244,4,1,53,18.0,55.0
1245,17,21,2,32.0,28.0
1246,61,2,29,13.0,73.0
1247,66,35,43,34.0,10.0
1248,38,73,12,62.0,32.0
1249,3,53,70,18.0,55.0
1250,17,61,40,4.0,39.0
1251,26,12,5,36.0,28.0
1252,10,3,45,55.0,57.0
1253,1,21,69,44.0,55.0
1254,26,35,55,24.0,18.0
1255,29,45,35,11.0,2.0
1256,58,35,62,55.0,18.0
1257,8,67,68,15.0,16.0
1258,64,32,15,53.0,73.0
1259,31,43,24,45.0,11.0
1260,25,7,45,70.0,19.0
1261,31,2,63,18.0,55.0
1262,56,21,7,35.0,12.0
1263,53,42,70,52.0,55.0
1264,36,70,34,11.0,2.0
1265,8,13,52,14.0,68.0
1266,69,18,5,38.0,4.0
1267,68,59,8,29.0,55.0
1268,5,17,35,27.0,24.0
1269,29,62,36,53.0,14.0
1270,24,27,73,37.0,35.0
1271,4,22,66,42.0,13.0
1272,34,71,29,70.0,68.0
1273,34,15,39,2.0,8.0
1274,71,24,63,55.0,2.0
1275,48,6,73,2.0,72.0
1276,8,44,39,1.0,33.0
1277,24,62,38,17.0,58.0
1278,34,71,5,25.0,67.0
1279,38,34,22,49.0,66.0
1280,57,10,37,60.0,69.0
1281,57,37,70,61.0,19.0
1282,2,63,33,21.0,8.0
1283,48,61,56,21.0,38.0
1284,69,57,47,49.0,22.0
1285,1,35,61,57.0,24.0
1286,14,34,8,27.0,62.0
1287,34,35,12,40.0,51.0
1288,49,16,71,55.0,37.0
1289,35,34,24,50.0,3.0
1290,34,42,20,27.0,62.0
1291,34,62,21,33.0,63.0
1292,26,20,51,69.0,21.0
1293,34,62,52,68.0,4.0
1294,34,39,13,23.0,40.0
1295,34,39,35,17.0,2.0
1296,13,35,68,42.0,15.0
1297,32,60,23,15.0,58.0
1298,51,56,6,42.0,57.0
1299,34,26,57,51.0,68.0
1300,34,60,53,62.0,40.0
1301,34,48,26,44.0,8.0
1302,11,34,17,73.0,22.0
1303,33,8,66,1.0,20.0
1304,1,8,62,34.0,18.0
1305,34,18,8,48.0,69.0
1306,8,44,13,19.0,33.0
1307,34,70,35,71.0,32.0
1308,51,65,1,73.0,24.0
1309,34,10,8,32.0,27.0
1310,18,8,68,17.0,62.0
1311,13,33,40,53.0,63.0
1312,45,13,66,39.0,33.0
1313,2,46,8,55.0,3.0
1314,57,28,44,68.0,36.0
1315,57,38,72,54.0,33.0
1316,29,34,5,2.0,57.0
1317,69,33,34,48.0,70.0
1318,2,5,40,63.0,35.0
1319,13,4,56,14.0,55.0
1320,7,62,20,49.0,19.0
1321,53,62,21,33.0,15.0
1322,37,42,21,1.0,63.0
1323,45,53,8,62.0,18.0
1324,42,57,49,25.0,47.0
1325,73,2,69,63.0,49.0
1326,53,3,51,30.0,45.0
1327,43,9,68,71.0,62.0
1328,40,14,12,6.0,4.0
1329,40,21,17,72.0,57.0
1330,40,51,47,5.0,34.0
1331,51,29,4,57.0,33.0
1332,18,8,34,5.0,28.0
1333,29,5,11,48.0,7.0
1334,12,72,57,67.0,2.0
1335,51,14,32,70.0,17.0
1336,37,33,60,67.0,47.0
1337,8,33,31,66.0,40.0
1338,57,43,60,65.0,7.0
1339,45,57,14,66.0,31.0
1340,17,6,57,18.0,53.0
1341,40,49,16,3.0,32.0
1342,41,8,22,31.0,34.0
1343,34,70,38,32.0,65.0
1344,55,5,1,3.0,33.0
1345,8,42,2,40.0,62.0
1346,12,56,36,16.0,62.0
1347,42,31,38,66.0,40.0
1348,51,49,47,35.0,44.0
1349,68,20,14,62.0,31.0
1350,17,53,2,11.0,8.0
1351,5,22,17,2.0,4.0
1352,34,60,55,10.0,18.0
1353,2,61,16,10.0,57.0
1354,33,35,47,26.0,41.0
1355,68,28,17,16.0,21.0
1356,4,36,49,7.0,60.0
1357,17,65,16,64.0,5.0
1358,34,16,3,64.0,57.0
1359,32,62,40,7.0,71.0
1360,42,32,64,66.0,72.0
1361,40,8,26,59.0,27.0
1362,21,63,69,59.0,47.0
1363,34,9,47,17.0,25.0
1364,7,50,13,65.0,29.0
1365,16,13,14,39.0,58.0
1366,34,61,57,25.0,26.0
1367,42,29,57,34.0,71.0
1368,37,49,60,51.0,57.0
1369,34,32,2,57.0,17.0
1370,34,36,4,19.0,17.0
1371,19,43,40,7.0,28.0
1372,16,3,17,49.0,21.0
1373,7,36,57,27.0,18.0
1374,33,17,6,37.0,43.0
1375,37,29,61,66.0,8.0
1376,10,42,45,57.0,4.0
1377,17,2,21,38.0,56.0
1378,24,37,32,35.0,28.0
1379,34,22,50,60.0,16.0
1380,17,68,7,21.0,47.0
1381,30,22,57,49.0,31.0
1382,28,67,57,53.0,49.0
1383,37,68,27,8.0,62.0
1384,3,20,21,64.0,33.0
1385,17,41,34,36.0,62.0
1386,68,27,5,71.0,31.0
1387,34,5,70,29.0,71.0
1388,8,58,12,39.0,33.0
1389,37,28,13,42.0,57.0
1390,37,60,6,13.0,4.0
1391,45,32,36,13.0,10.0
1392,33,18,8,2.0,11.0
1393,34,60,21,17.0,11.0
1394,29,61,47,46.0,62.0
1395,34,36,55,28.0,18.0
1396,22,17,38,71.0,49.0
1397,49,21,11,28.0,18.0
1398,45,35,6,28.0,49.0
1399,61,5,8,2.0,17.0
1400,34,5,48,69.0,51.0
1401,68,4,58,5.0,18.0
1402,5,45,65,36.0,17.0
1403,45,15,4,35.0,17.0
1404,68,48,61,8.0,44.0
1405,68,34,62,52.0,38.0
1406,42,18,62,66.0,27.0
1407,33,18,19,26.0,73.0
1408,62,53,26,32.0,33.0
1409,42,34,62,27.0,10.0
1410,62,47,4,57.0,33.0
1411,49,6,22,32.0,29.0
1412,45,3,57,64.0,71.0
1413,27,62,16,49.0,47.0
1414,8,66,18,64.0,37.0
1415,34,69,6,8.0,56.0
1416,8,2,62,27.0,53.0
1417,34,15,66,52.0,24.0
1418,66,61,1,4.0,49.0
1419,45,51,8,49.0,64.0
1420,45,25,66,44.0,33.0
1421,38,45,11,17.0,33.0
1422,38,37,45,63.0,72.0
1423,17,33,38,67.0,14.0
1424,5,15,31,43.0,42.0
1425,8,1,53,61.0,66.0
1426,62,5,22,44.0,65.0
1427,45,44,66,47.0,8.0
1428,70,57,14,53.0,27.0
1429,3,4,14,64.0,66.0
1430,34,8,10,45.0,1.0
1431,45,8,21,53.0,1.0
1432,7,8,57,61.0,36.0
1433,45,43,46,42.0,47.0
1434,45,17,62,68.0,57.0
1435,21,45,16,6.0,36.0
1436,17,6,40,8.0,7.0
1437,14,6,20,2.0,17.0
1438,34,17,8,21.0,33.0
1439,58,45,59,12.0,5.0
1440,6,26,41,14.0,52.0
1441,17,41,16,2.0,72.0
1442,44,3,69,6.0,39.0
1443,3,16,70,64.0,49.0
1444,72,27,68,39.0,38.0
1445,42,57,45,72.0,70.0
1446,12,49,1,27.0,43.0
1447,16,36,49,66.0,61.0
1448,42,62,1,41.0,2.0
1449,17,4,37,1.0,23.0
1450,35,4,45,26.0,22.0
1451,17,66,60,38.0,61.0
1452,42,33,51,31.0,21.0
1453,17,1,33,21.0,62.0
1454,31,3,73,57.0,7.0
1455,2,18,57,42.0,66.0
1456,42,18,8,49.0,6.0
1457,35,33,62,28.0,63.0
1458,45,8,2,36.0,40.0
1459,18,20,66,9.0,46.0
1460,68,8,13,61.0,27.0
1461,3,13,9,22.0,57.0
1462,8,68,42,41.0,27.0
1463,8,68,71,69.0,34.0
1464,45,69,66,25.0,18.0
1465,61,7,41,62.0,27.0
1466,7,66,45,17.0,10.0
1467,10,68,40,41.0,25.0
1468,71,59,8,49.0,12.0
1469,45,27,39,8.0,1.0
1470,41,72,47,59.0,51.0
1471,45,18,57,20.0,40.0
1472,45,6,67,33.0,13.0
1473,45,41,7,3.0,67.0
1474,45,50,27,40.0,36.0
1475,72,3,43,37.0,5.0
1476,26,64,32,61.0,4.0
1477,59,60,18,3.0,36.0
1478,14,17,3,44.0,21.0
1479,3,72,8,53.0,63.0
1480,43,33,4,51.0,45.0
1481,34,71,8,2.0,60.0
1482,45,62,40,25.0,60.0
1483,22,20,62,57.0,2.0
1484,64,4,49,3.0,57.0
1485,30,66,57,45.0,37.0
1486,34,44,3,21.0,5.0
1487,22,4,55,24.0,8.0
1488,22,36,66,29.0,55.0
1489,51,12,61,16.0,17.0
1490,64,51,33,73.0,1.0
1491,66,49,13,52.0,65.0
1492,67,59,70,3.0,42.0
1493,44,62,70,68.0,40.0
1494,10,38,41,60.0,9.0
1495,34,41,3,59.0,72.0
1496,9,6,19,52.0,57.0
1497,69,71,30,49.0,53.0
1498,8,39,46,0.0,0.0
1499,8,57,33,15.0,62.0
1500,11,7,2,16.0,69.0
1501,34,4,35,49.0,31.0
1502,31,57,14,47.0,38.0
1503,37,67,17,8.0,33.0
1504,34,68,66,62.0,25.0
1505,1,73,45,33.0,62.0
1506,42,38,30,73.0,61.0
1507,34,57,51,52.0,1.0
1508,34,32,39,18.0,40.0
1509,34,10,3,62.0,39.0
1510,69,44,2,16.0,67.0
1511,41,14,33,1.0,8.0
1512,66,17,13,67.0,34.0
1513,39,71,9,38.0,30.0
1514,40,24,52,16.0,67.0
1515,31,64,32,43.0,57.0
1516,34,71,73,65.0,66.0
1517,2,71,5,21.0,69.0
1518,21,47,37,41.0,45.0
1519,21,60,12,57.0,33.0
1520,34,12,8,48.0,63.0
1521,34,68,52,19.0,5.0
1522,2,66,8,46.0,69.0
1523,56,3,32,52.0,25.0
1524,17,42,32,37.0,66.0
1525,61,13,60,57.0,66.0
1526,4,1,12,13.0,57.0
1527,29,16,2,51.0,37.0
1528,28,11,24,69.0,55.0
1529,13,46,40,3.0,38.0
1530,66,2,69,32.0,4.0
1531,1,8,22,19.0,33.0
1532,45,41,36,40.0,8.0
1533,14,62,29,38.0,17.0
1534,65,22,29,41.0,16.0
1535,69,32,9,51.0,17.0
1536,54,32,68,73.0,37.0
1537,21,22,16,18.0,37.0
1538,40,59,45,12.0,62.0
1539,2,69,30,44.0,62.0
1540,69,24,20,22.0,19.0
1541,62,47,53,8.0,17.0
1542,17,14,55,62.0,33.0
1543,17,42,5,36.0,61.0
1544,33,3,8,63.0,53.0
1545,42,8,66,72.0,2.0
1546,40,6,49,57.0,19.0
1547,71,42,40,5.0,49.0
1548,8,12,45,18.0,27.0
1549,29,34,57,52.0,6.0
1550,63,33,66,60.0,2.0
1551,40,57,13,22.0,54.0
1552,16,26,36,5.0,2.0
1553,9,6,3,38.0,68.0
1554,38,3,13,2.0,45.0
1555,8,61,28,40.0,6.0
1556,40,68,57,43.0,3.0
1557,8,26,63,33.0,64.0
1558,8,18,66,68.0,17.0
1559,42,41,68,13.0,40.0
1560,3,8,49,71.0,9.0
1561,13,55,59,18.0,9.0
1562,34,8,33,48.0,19.0
1563,8,61,64,3.0,71.0
1564,8,69,24,5.0,42.0
1565,34,5,28,62.0,66.0
1566,49,35,66,52.0,21.0
1567,27,1,5,33.0,6.0
1568,42,18,66,70.0,67.0
1569,7,5,68,26.0,13.0
1570,17,42,33,38.0,2.0
1571,47,1,70,33.0,28.0
1572,33,34,21,4.0,17.0
1573,18,17,24,57.0,48.0
1574,24,15,38,6.0,37.0
1575,42,9,73,13.0,62.0
1576,3,2,35,62.0,72.0
1577,64,33,66,62.0,49.0
1578,65,68,16,51.0,72.0
1579,33,14,3,30.0,5.0
1580,42,61,66,13.0,43.0
1581,37,62,45,43.0,54.0
1582,38,33,62,60.0,1.0
1583,37,26,19,3.0,50.0
1584,68,15,40,70.0,8.0
1585,34,4,2,5.0,13.0
1586,3,37,43,34.0,66.0
1587,41,29,8,24.0,33.0
1588,37,39,53,31.0,21.0
1589,42,68,62,6.0,1.0
1590,13,33,8,48.0,64.0
1591,17,8,62,33.0,64.0
1592,63,33,61,12.0,62.0
1593,8,14,13,1.0,51.0
1594,5,45,61,40.0,8.0
1595,49,5,13,37.0,4.0
1596,45,40,5,70.0,61.0
1597,37,29,45,6.0,16.0
1598,66,26,16,68.0,58.0
1599,53,30,45,43.0,57.0
1600,32,49,62,48.0,69.0
1601,66,36,8,42.0,44.0
1602,38,29,25,22.0,68.0
1603,24,13,69,64.0,4.0
1604,37,12,36,66.0,69.0
1605,34,52,68,38.0,21.0
1606,34,21,27,8.0,1.0
1607,52,42,51,18.0,73.0
1608,34,62,28,57.0,37.0
1609,49,1,28,70.0,13.0
1610,45,51,19,49.0,70.0
1611,66,52,42,6.0,69.0
1612,29,2,32,14.0,57.0
1613,25,56,44,4.0,69.0
1614,5,43,33,69.0,3.0
1615,60,62,48,17.0,2.0
1616,6,21,22,17.0,49.0
1617,62,33,28,22.0,10.0
1618,40,53,68,70.0,66.0
1619,69,44,15,13.0,5.0
1620,8,55,65,57.0,18.0
1621,34,66,61,62.0,27.0
1622,30,36,61,33.0,66.0
1623,42,44,13,20.0,72.0
1624,6,44,33,31.0,21.0
1625,49,16,36,33.0,21.0
1626,15,53,4,50.0,51.0
1627,8,68,6,57.0,69.0
1628,34,38,3,25.0,2.0
1629,35,57,49,54.0,24.0
1630,72,37,57,36.0,33.0
1631,60,34,62,40.0,51.0
1632,3,8,43,30.0,68.0
1633,59,9,66,38.0,31.0
1634,45,55,66,60.0,37.0
1635,55,45,53,70.0,14.0
1636,35,62,2,51.0,25.0
1637,8,26,2,30.0,68.0
1638,43,68,9,13.0,7.0
1639,1,70,2,62.0,27.0
1640,61,7,39,71.0,9.0
1641,45,57,8,64.0,12.0
1642,2,8,57,44.0,3.0
1643,62,2,68,13.0,63.0
1644,35,26,57,28.0,53.0
1645,13,66,68,62.0,49.0
1646,66,31,2,4.0,17.0
1647,30,64,53,31.0,62.0
1648,14,45,36,4.0,72.0
1649,72,68,3,57.0,4.0
1650,34,43,57,36.0,7.0
1651,53,55,72,5.0,65.0
1652,42,8,52,11.0,65.0
1653,70,57,9,12.0,49.0
1654,2,57,61,47.0,62.0
1655,57,4,56,62.0,0.0
1656,62,45,16,59.0,53.0
1657,28,44,38,65.0,51.0
1658,21,13,5,7.0,53.0
1659,29,28,5,13.0,33.0
1660,13,38,3,68.0,56.0
1661,25,40,27,32.0,49.0
1662,44,3,48,13.0,27.0
1663,72,34,41,28.0,55.0
1664,45,40,44,30.0,35.0
1665,45,40,43,57.0,3.0
1666,22,60,13,53.0,57.0
1667,13,42,17,24.0,45.0
1668,42,18,31,66.0,73.0
1669,40,35,59,24.0,62.0
1670,21,3,67,28.0,39.0
1671,22,38,62,17.0,65.0
1672,29,58,44,20.0,32.0
1673,2,13,41,40.0,70.0
1674,17,40,49,19.0,66.0
1675,51,33,8,68.0,54.0
1676,14,45,52,38.0,0.0
1677,8,18,2,57.0,3.0
1678,17,72,21,66.0,33.0
1679,22,38,3,72.0,36.0
1680,31,70,34,62.0,17.0
1681,13,45,6,29.0,61.0
1682,54,18,32,9.0,21.0
1683,3,62,2,48.0,25.0
1684,34,57,39,51.0,17.0
1685,54,53,5,36.0,17.0
1686,33,70,36,45.0,6.0
1687,9,21,60,3.0,30.0
1688,40,35,61,22.0,62.0
1689,21,45,57,68.0,69.0
1690,63,22,69,41.0,71.0
1691,45,70,17,61.0,62.0
1692,48,45,66,2.0,3.0
1693,38,21,68,53.0,24.0
1694,45,43,5,57.0,9.0
1695,26,35,34,42.0,43.0
1696,66,28,10,43.0,34.0
1697,5,61,21,46.0,36.0
1698,8,66,10,28.0,53.0
1699,2,62,34,17.0,38.0
